order_date,product,category,region,unit_price,quantity,customer_age,customer_segment,discount
2025-01-03,Smartphone X,Electronics,North,699.00,2,28,New,0.05
2025-01-04,Bluetooth Speaker,Electronics,South,49.99,5,34,Returning,0.0
2025-01-05,Running Shoes,Sports,West,89.50,1,22,New,0.1
2025-01-06,Yoga Mat,Sports,East,29.90,3,41,Returning,0.0
2025-01-07,Smartphone X,Electronics,North,699.00,1,52,VIP,0.15
2025-01-08,Cookware Set,Home,West,129.00,1,36,Returning,0.0
2025-01-09,Smartwatch Pro,Electronics,North,249.00,2,29,New,0.05
2025-01-10,Desk Lamp,Home,South,39.95,4,47,Returning,0.0
2025-01-11,Running Shoes,Sports,West,89.50,2,26,New,0.1
2025-01-12,Bluetooth Speaker,Electronics,East,49.99,3,31,Returning,0.0
2025-01-13,Smartphone X,Electronics,South,699.00,1,45,VIP,0.2
2025-01-14,Yoga Mat,Sports,North,29.90,2,38,Returning,0.0
2025-01-15,Backpack,Accessories,West,59.00,2,19,New,0.05
2025-01-16,Cookware Set,Home,East,129.00,1,50,VIP,0.1
2025-01-17,Smartwatch Pro,Electronics,North,249.00,1,33,Returning,0.0
2025-01-18,Office Chair,Home,South,199.00,1,44,Returning,0.05
2025-01-19,Running Shoes,Sports,East,89.50,3,24,New,0.1
2025-01-20,Headphones Max,Electronics,West,349.00,1,30,Returning,0.0
2025-01-21,Smartphone X,Electronics,North,699.00,2,48,VIP,0.2
2025-01-22,Backpack,Accessories,South,59.00,1,21,New,0.0
2025-01-23,Yoga Mat,Sports,West,29.90,5,35,Returning,0.0
2025-01-24,Desk Lamp,Home,East,39.95,2,42,Returning,0.0
2025-01-25,Smartwatch Pro,Electronics,North,249.00,1,27,New,0.05
2025-01-26,Bluetooth Speaker,Electronics,South,49.99,4,32,Returning,0.0
2025-01-27,Cookware Set,Home,West,129.00,2,55,VIP,0.15
2025-01-28,Headphones Max,Electronics,East,349.00,1,29,Returning,0.0
2025-01-29,Running Shoes,Sports,North,89.50,1,23,New,0.1
2025-01-30,Office Chair,Home,South,199.00,1,46,Returning,0.05
2025-01-31,Smartphone X,Electronics,West,699.00,1,51,VIP,0.2
2025-02-01,Backpack,Accessories,East,59.00,3,20,New,0.05
2025-02-02,Yoga Mat,Sports,North,29.90,2,37,Returning,0.0
2025-02-03,Smartwatch Pro,Electronics,South,249.00,2,28,New,0.05
2025-02-04,Bluetooth Speaker,Electronics,West,49.99,6,33,Returning,0.0
